gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FSTL4,316.9408328,-1.737960386,0.278152777,-6.248222309,4.15E-10,2.60E-08
TINCR,106.227546,-1.739432434,0.285638925,-6.089619735,1.13E-09,6.05E-08
DRD1,187.3035902,-1.748090761,0.224479136,-7.78731952,6.84E-15,2.12E-12
NWD2,373.4075379,-1.778329444,0.268563842,-6.621626464,3.55E-11,3.31E-09
CBLN2,340.7532014,-1.780635454,0.189806468,-9.38132125,6.52E-21,1.53E-17
SLC22A25,103.2458634,-1.795581468,0.209141835,-8.585472461,9.05E-18,7.08E-15
MIR124-2HG,379.4707898,-1.813439101,0.217820659,-8.325376972,8.41E-17,5.06E-14
TTC6,57.02411969,-1.822400119,0.313880292,-5.806035495,6.40E-09,2.63E-07
GLRA3,527.2357713,-1.838282127,0.217364399,-8.457144484,2.74E-17,1.82E-14
MGAT5B,1087.768843,-1.854185,0.284063828,-6.527353412,6.69E-11,5.68E-09
TMEM233,96.30450311,-1.861532403,0.306753651,-6.068493062,1.29E-09,6.79E-08
SCARA5,104.8203627,-1.875727793,0.439676339,-4.266155865,1.99E-05,0.000230795
ADAMTS3,96.53682267,-1.878860382,0.192887705,-9.740695415,2.02E-22,7.91E-19
TMEM196,168.5733264,-1.904558412,0.208793938,-9.121713142,7.39E-20,1.22E-16
CDH7,181.2250197,-1.9223482,0.247777811,-7.758354909,8.60E-15,2.54E-12
CUX2,685.5183423,-1.931620092,0.448398114,-4.307823859,1.65E-05,0.000196661
SLC17A6,300.376042,-1.931663239,0.449330003,-4.298985663,1.72E-05,0.000203273
RAD51AP2,70.80616809,-1.940917289,0.206710688,-9.389535246,6.03E-21,1.53E-17
CPNE9,123.3373917,-2.010375428,0.272520145,-7.376979162,1.62E-13,3.33E-11
KCNS1,319.3728061,-2.016407009,0.315671605,-6.387673066,1.68E-10,1.22E-08
HSD3BP4,99.83204707,-2.021287867,0.27847282,-7.258474526,3.91E-13,7.08E-11
PART1,276.4816396,-2.022590707,0.259555817,-7.792507708,6.57E-15,2.06E-12
SNORD115-5,73.08422883,-2.03803489,0.55439803,-3.676122174,0.000236806,0.001737615
TPBG,74.85213894,-2.040543646,0.232679507,-8.769760921,1.79E-18,1.93E-15
DLGAP1-AS4,67.38938709,-2.078374462,0.275090453,-7.555240255,4.18E-14,1.04E-11
SERPIND1,78.67650345,-2.079342865,0.461607046,-4.504573495,6.65E-06,9.33E-05
NGB,100.8571772,-2.0947159,0.225252738,-9.299402619,1.41E-20,2.76E-17
SLC6A20,127.6834951,-2.117615232,0.400897048,-5.28219213,1.28E-07,3.30E-06
SYT10,62.16624881,-2.138879043,0.276329038,-7.740333973,9.92E-15,2.87E-12
SLC13A4,195.4752925,-2.148188097,0.592912963,-3.623108673,0.000291083,0.002057244
GLP2R,128.2944267,-2.151866226,0.316023814,-6.809190102,9.81E-12,1.10E-09
RNR2,527176.4625,-2.154179276,0.46889287,-4.594182202,4.34E-06,6.50E-05
CRABP1,67.04301553,-2.155977505,0.426452651,-5.055608164,4.29E-07,9.22E-06
LOC105375161,73.23315374,-2.497453147,0.353871045,-7.057523302,1.69E-12,2.53E-10
LOC105372026,106.4084495,-2.621660695,0.351276822,-7.463232783,8.44E-14,1.93E-11
SNORD116-24,51.86967328,-2.684576603,0.475132964,-5.650158602,1.60E-08,5.76E-07
TESPA1,580.9008645,-2.700168772,0.449401523,-6.008365872,1.87E-09,9.35E-08
HTR3B,85.28268571,-2.73872941,0.32366326,-8.461662932,2.64E-17,1.82E-14
SLC5A5,68.14125513,-2.756343614,0.80193083,-3.437133865,0.000587905,0.003624507
SNORD116-8,65.96751835,-2.789665376,0.545361452,-5.115259555,3.13E-07,7.10E-06
SNORD116-16,66.27109023,-2.825829386,0.55832279,-5.061282539,4.16E-07,9.03E-06
MCHR2,152.2644743,-2.877728786,0.443089845,-6.494684582,8.32E-11,6.71E-09
